CaseYear,ST_CASE,crashDate,LONGITUD,LATITUDE,COUNTYNAME,HARM_EVNAME,HARM_EV,DRUNK_DR,WEATHERNAME,EMS_flag,EMS_time,Hosp_flag,Hosp_time,totalvehicles,fatals,persons,peds
2015,540001,2015-01-02T15:36:00Z,-80.00235833,38.06802778,POCAHONTAS (75),Tree (Standing Only),42,FALSE,Clear,Yes,16:04,Not Applicable/Notified,NA,1,1,1,0
2015,540002,2015-01-06T17:28:00Z,-81.10045833,37.69432778,RALEIGH (81),Motor Vehicle In-Transport,12,FALSE,Cloudy,Unknown time,NA,Unknown time,NA,2,1,6,0
2015,540003,2015-01-07T03:10:00Z,-81.11205556,37.52946389,MERCER (55),Guardrail Face,24,FALSE,Cloudy,Yes,03:44,Not Applicable/Notified,NA,1,1,1,0
2015,540004,2015-01-07T19:54:00Z,-81.125,37.6029,RALEIGH (81),Motor Vehicle In-Transport,12,FALSE,Cloudy,Yes,20:05,Not Applicable/Notified,NA,2,1,2,0
2015,540005,2015-01-07T10:29:00Z,-81.89974444,38.53689167,PUTNAM (79),Utility Pole/Light Support,30,FALSE,Snow,Yes,10:38,Yes,11:17,2,1,6,0
2015,540006,2015-01-08T17:30:00Z,-80.8911,37.6531,SUMMERS (89),Motor Vehicle In-Transport,12,FALSE,Clear,Yes,17:36,Yes,18:04,2,1,4,0
2015,540007,2015-01-11T16:12:00Z,-81.80333889,37.57736111,WYOMING (109),Motor Vehicle In-Transport,12,FALSE,Rain,Yes,16:31,Yes,17:29,2,1,6,0
2015,540008,2015-01-11T03:00:00Z,-81.88537222,38.39685278,KANAWHA (39),Pedestrian,8,FALSE,Clear,Unknown time,NA,Not Applicable/Notified,NA,1,1,1,1
2015,540009,2015-01-19T17:58:00Z,-79.7583,39.3274,PRESTON (77),Rollover/Overturn,1,FALSE,Clear,Yes,18:45,Yes,20:40,1,1,2,0
2015,540010,2015-01-20T13:08:00Z,-80.25688056,38.96711111,UPSHUR (97),Bridge Pier or Support,21,FALSE,Cloudy,Unknown time,NA,Unknown time,NA,1,1,4,0
2015,540011,2015-01-14T08:15:00Z,-80.82204722,39.79673056,MARSHALL (51),Motor Vehicle In-Transport,12,FALSE,Snow,Unknown time,NA,Unknown time,NA,2,1,2,0
2015,540012,2015-01-29T08:27:00Z,-80.40971111,37.80758333,GREENBRIER (25),Guardrail Face,24,FALSE,Cloudy,Unknown time,NA,Not Applicable/Notified,NA,1,1,1,0
2015,540013,2015-01-17T12:00:00Z,-77.76666944,39.26138889,JEFFERSON (37),Motor Vehicle In-Transport,12,FALSE,Clear,Yes,12:35,Yes,13:15,2,1,2,0
2015,540014,2015-01-29T18:20:00Z,-82.20323056,37.84942778,MINGO (59),Bridge Overhead Structure,50,FALSE,Clear,Yes,19:02,Unknown time,NA,1,1,2,0
