CaseYear,ST_CASE,hospital_ID,driving
2015,540001,0000224445,44.91166666666666
2015,540001,0148424457,57.083333333333336
2015,540001,0005326241,115.32666666666667
2015,540001,0002624970,57.68666666666666
2015,540001,0005824924,31.448333333333334
2015,540001,0006226288,119.31333333333333
2016,540106,0000224445,71.64166666666667
2016,540106,0148424457,80.78833333333334
2016,540106,0005326241,102.075
2016,540106,0002624970,54.18333333333333
2016,540106,0005824924,12.096666666666666
2016,540106,0006226288,106.27
2017,540056,0000224445,64.86999999999999
2017,540056,0148424457,93.06666666666666
2017,540056,0005326241,91.405
2017,540056,0002624970,75.40666666666667
2017,540056,0005824924,11.531666666666666
2017,540056,0006226288,95.6
2017,540106,0000224445,79.66000000000001
2017,540106,0148424457,118.83833333333334
2017,540106,0005326241,54.39
2017,540106,0002624970,123.45833333333333
2017,540106,0005824924,61.89
2017,540106,0006226288,91.91499999999999
2017,540220,0000224445,85.355
2017,540220,0148424457,67.23166666666667
2017,540220,0005326241,115.78833333333334
2017,540220,0002624970,40.626666666666665
2017,540220,0005824924,25.81
2017,540220,0006226288,119.98333333333333
2018,540198,0000224445,72.36999999999999
2018,540198,0148424457,111.54833333333333
2018,540198,0005326241,55.87833333333333
2018,540198,0002624970,120.69666666666667
2018,540198,0005824924,59.12833333333333
2018,540198,0006226288,93.40333333333334
2018,540223,0000224445,76.74499999999999
2018,540223,0148424457,115.92333333333333
2018,540223,0005326241,55.809999999999995
2018,540223,0002624970,116.55666666666666
2018,540223,0005824924,54.98833333333334
2018,540223,0006226288,93.33500000000001
2020,540225,0000224445,64.47
2020,540225,0148424457,88.58833333333334
2020,540225,0005326241,94.90333333333334
2020,540225,0002624970,61.983333333333334
2020,540225,0005824924,4.925
2020,540225,0006226288,99.09833333333333
2020,540235,0000224445,65.04666666666667
2020,540235,0148424457,87.39
2020,540235,0005326241,95.48
2020,540235,0002624970,60.785
2020,540235,0005824924,5.501666666666667
2020,540235,0006226288,99.675
2015,540002,0016725801,17.673333333333336
2015,540002,0001125801,16.216666666666665
2015,540002,0001425130,100.04333333333334
2015,540002,0003425136,67.55833333333334
2015,540002,0003625901,31.583333333333332
2015,540002,0004125801,19.423333333333336
2015,540002,0005925951,29.938333333333333
2015,540004,0016725801,21.086666666666666
2015,540004,0001125801,24.1
2015,540004,0001425130,99.86
2015,540004,0003425136,67.375
2015,540004,0003625901,34.37166666666667
2015,540004,0004125801,23.3
2015,540004,0005925951,42.165
2015,540015,0016725801,1.7016666666666667
2015,540015,0001125801,7.743333333333334
2015,540015,0001425130,83.40333333333334
2015,540015,0003425136,51.723333333333336
2015,540015,0003625901,18.720000000000002
2015,540015,0004125801,5.5
2015,540015,0005925951,45.251666666666665
2015,540017,0016725801,15.129999999999999
2015,540017,0001125801,13.673333333333334
2015,540017,0001425130,97.5
2015,540017,0003425136,65.015
2015,540017,0003625901,29.040000000000003
2015,540017,0004125801,16.88
2015,540017,0005925951,30.34
2015,540043,0016725801,20.529999999999998
2015,540043,0001125801,23.543333333333333
2015,540043,0001425130,99.30333333333333
2015,540043,0003425136,66.81833333333333
2015,540043,0003625901,33.815000000000005
2015,540043,0004125801,22.743333333333332
2015,540043,0005925951,42.638333333333335
2015,540048,0016725801,18.5
2015,540048,0001125801,23.836666666666666
2015,540048,0001425130,67.69666666666667
2015,540048,0003425136,63.905
2015,540048,0003625901,30.901666666666664
2015,540048,0004125801,19.225
2015,540048,0005925951,62.306666666666665
2015,540076,0016725801,10.641666666666667
2015,540076,0001125801,16.768333333333334
2015,540076,0001425130,80.525
2015,540076,0003425136,58.475
2015,540076,0003625901,25.471666666666668
2015,540076,0004125801,14.4
2015,540076,0005925951,54.44833333333334
2015,540142,0016725801,3.3466666666666667
2015,540142,0001125801,9.473333333333333
2015,540142,0001425130,81.63833333333334
2015,540142,0003425136,51.18
2015,540142,0003625901,18.176666666666666
2015,540142,0004125801,7.105
2015,540142,0005925951,47.15333333333333
2015,540153,0016725801,12.858333333333333
2015,540153,0001125801,17.404999999999998
2015,540153,0001425130,73.03333333333333
2015,540153,0003425136,57.473333333333336
2015,540153,0003625901,24.470000000000002
2015,540153,0004125801,12.793333333333333
2015,540153,0005925951,56.955000000000005
2015,540188,0016725801,2.3016666666666667
2015,540188,0001125801,6.925
2015,540188,0001425130,84.00333333333333
2015,540188,0003425136,52.32333333333334
2015,540188,0003625901,19.32
2015,540188,0004125801,4.680000000000001
2015,540188,0005925951,44.541666666666664
2015,540193,0016725801,19.851666666666667
2015,540193,0001125801,25.188333333333333
2015,540193,0001425130,69.04833333333333
2015,540193,0003425136,65.25666666666667
2015,540193,0003625901,32.25333333333334
2015,540193,0004125801,20.576666666666664
2015,540193,0005925951,63.65833333333333
2015,540209,0016725801,27.641666666666666
2015,540209,0001125801,23.028333333333332
2015,540209,0001425130,106.41499999999999
2015,540209,0003425136,73.93
2015,540209,0003625901,40.92666666666666
2015,540209,0004125801,29.855
2015,540209,0005925951,27.521666666666665
2015,540231,0016725801,43.74
2015,540231,0001125801,41.288333333333334
2015,540231,0001425130,79.17166666666667
2015,540231,0003425136,54.325
2015,540231,0003625901,41.086666666666666
2015,540231,0004125801,40.45666666666667
2015,540231,0005925951,85.39333333333335
2015,540234,0016725801,18.113333333333333
2015,540234,0001125801,16.656666666666666
2015,540234,0001425130,100.48333333333333
2015,540234,0003425136,67.99833333333333
2015,540234,0003625901,32.02333333333333
2015,540234,0004125801,19.863333333333333
2015,540234,0005925951,27.126666666666665
2016,540037,0016725801,5.819999999999999
2016,540037,0001125801,3.7583333333333333
2016,540037,0001425130,86.31166666666667
2016,540037,0003425136,51.77166666666667
2016,540037,0003625901,17.505
2016,540037,0004125801,5.418333333333334
2016,540037,0005925951,45.71333333333334
2016,540050,0016725801,11.216666666666667
2016,540050,0001125801,14.229999999999999
2016,540050,0001425130,89.99
2016,540050,0003425136,57.505
2016,540050,0003625901,24.501666666666665
2016,540050,0004125801,13.43
2016,540050,0005925951,47.91166666666666
2016,540144,0016725801,4.863333333333333
2016,540144,0001125801,10.99
2016,540144,0001425130,81.87666666666668
2016,540144,0003425136,52.72833333333333
2016,540144,0003625901,19.725
2016,540144,0004125801,8.501666666666667
2016,540144,0005925951,47.97833333333333
2016,540160,0016725801,9.383333333333333
2016,540160,0001125801,15.51
2016,540160,0001425130,79.26666666666667
2016,540160,0003425136,57.21666666666667
2016,540160,0003625901,24.21333333333333
2016,540160,0004125801,13.141666666666667
2016,540160,0005925951,53.190000000000005
2016,540213,0016725801,9.325
2016,540213,0001125801,10.67
2016,540213,0001425130,83.28333333333333
2016,540213,0003425136,50.13333333333333
2016,540213,0003625901,17.13
2016,540213,0004125801,6.058333333333334
2016,540213,0005925951,51.35166666666667
2016,540229,0016725801,5.363333333333333
2016,540229,0001125801,3.8833333333333333
2016,540229,0001425130,85.97166666666666
2016,540229,0003425136,52.82166666666667
2016,540229,0003625901,18.315
2016,540229,0004125801,4.961666666666667
2016,540229,0005925951,45.83833333333334
2016,540230,0016725801,3.816666666666667
2016,540230,0001125801,9.4
2016,540230,0001425130,82.865
2016,540230,0003425136,51.184999999999995
2016,540230,0003625901,18.18166666666667
2016,540230,0004125801,6.5600000000000005
2016,540230,0005925951,46.83166666666667
2016,540239,0016725801,7.198333333333333
2016,540239,0001125801,8.315
2016,540239,0001425130,89.435
2016,540239,0003425136,57.755
2016,540239,0003625901,24.751666666666665
2016,540239,0004125801,8.948333333333332
2016,540239,0005925951,42.086666666666666
2016,540244,0016725801,10.121666666666666
2016,540244,0001125801,16.24833333333333
2016,540244,0001425130,80.00500000000001
2016,540244,0003425136,57.955000000000005
2016,540244,0003625901,24.951666666666664
2016,540244,0004125801,13.879999999999999
2016,540244,0005925951,53.92833333333333
2016,540253,0016725801,8.351666666666667
2016,540253,0001125801,3.3516666666666666
2016,540253,0001425130,85.02333333333333
2016,540253,0003425136,48.81166666666666
2016,540253,0003625901,14.545
2016,540253,0004125801,7.95
2016,540253,0005925951,46.080000000000005
2017,540080,0016725801,4.319999999999999
2017,540080,0001125801,10.446666666666665
2017,540080,0001425130,83.09333333333333
2017,540080,0003425136,50.608333333333334
2017,540080,0003625901,17.605
2017,540080,0004125801,6.533333333333333
2017,540080,0005925951,47.955000000000005
2017,540105,0016725801,4.973333333333333
2017,540105,0001125801,11.1
2017,540105,0001425130,83.74666666666667
2017,540105,0003425136,51.26166666666666
2017,540105,0003625901,18.258333333333333
2017,540105,0004125801,7.1866666666666665
2017,540105,0005925951,48.608333333333334
2017,540111,0016725801,18.21333333333333
2017,540111,0001125801,15.725
2017,540111,0001425130,81.41166666666666
2017,540111,0003425136,47.79333333333333
2017,540111,0003625901,13.526666666666667
2017,540111,0004125801,16.173333333333332
2017,540111,0005925951,59.86666666666667
2017,540170,0016725801,6.595
2017,540170,0001125801,12.721666666666666
2017,540170,0001425130,81.63666666666667
2017,540170,0003425136,54.42833333333333
2017,540170,0003625901,21.425
2017,540170,0004125801,10.353333333333333
2017,540170,0005925951,50.401666666666664
2017,540175,0016725801,5.211666666666667
2017,540175,0001125801,11.338333333333333
2017,540175,0001425130,79.72666666666667
2017,540175,0003425136,53.044999999999995
2017,540175,0003625901,20.041666666666668
2017,540175,0004125801,8.97
2017,540175,0005925951,49.01833333333333
2017,540193,0016725801,11.41
2017,540193,0001125801,15.733333333333333
2017,540193,0001425130,74.68666666666667
2017,540193,0003425136,55.80166666666666
2017,540193,0003625901,22.798333333333336
2017,540193,0004125801,11.121666666666666
2017,540193,0005925951,55.28333333333333
2017,540195,0016725801,20.541666666666668
2017,540195,0001125801,19.084999999999997
2017,540195,0001425130,102.91166666666666
2017,540195,0003425136,70.42666666666668
2017,540195,0003625901,34.45166666666667
2017,540195,0004125801,22.291666666666668
2017,540195,0005925951,28.26833333333333
2017,540203,0016725801,18.529999999999998
2017,540203,0001125801,17.073333333333334
2017,540203,0001425130,100.9
2017,540203,0003425136,68.41499999999999
2017,540203,0003625901,32.440000000000005
2017,540203,0004125801,20.279999999999998
2017,540203,0005925951,26.709999999999997
2017,540232,0016725801,41.725
2017,540232,0001125801,40.26833333333333
2017,540232,0001425130,124.095
2017,540232,0003425136,91.61
2017,540232,0003625901,55.635
2017,540232,0004125801,43.475
2017,540232,0005925951,8.733333333333333
2017,540286,0016725801,12.086666666666668
2017,540286,0001125801,16.633333333333333
2017,540286,0001425130,73.79166666666667
2017,540286,0003425136,56.70166666666667
2017,540286,0003625901,23.698333333333334
2017,540286,0004125801,12.021666666666667
2017,540286,0005925951,56.18333333333333
2018,540011,0016725801,4.671666666666667
2018,540011,0001125801,10.798333333333334
2018,540011,0001425130,83.445
2018,540011,0003425136,50.96
2018,540011,0003625901,17.956666666666667
2018,540011,0004125801,6.885000000000001
2018,540011,0005925951,48.306666666666665
2018,540031,0016725801,14.49
2018,540031,0001125801,20.616666666666667
2018,540031,0001425130,81.35666666666665
2018,540031,0003425136,62.32333333333334
2018,540031,0003625901,29.32
2018,540031,0004125801,18.248333333333335
2018,540031,0005925951,58.29666666666667
2018,540038,0016725801,12.065
2018,540038,0001125801,12.691666666666666
2018,540038,0001425130,82.96333333333334
2018,540038,0003425136,52.29833333333333
2018,540038,0003625901,20.685
2018,540038,0004125801,9.556666666666667
2018,540038,0005925951,53.718333333333334
2018,540050,0016725801,5.656666666666666
2018,540050,0001125801,3.5816666666666666
2018,540050,0001425130,86.14833333333333
2018,540050,0003425136,52.998333333333335
2018,540050,0003625901,18.013333333333332
2018,540050,0004125801,5.255
2018,540050,0005925951,45.53666666666666
2018,540055,0016725801,15.696666666666665
2018,540055,0001125801,14.24
2018,540055,0001425130,98.06666666666666
2018,540055,0003425136,65.58166666666666
2018,540055,0003625901,29.60666666666667
2018,540055,0004125801,17.446666666666665
2018,540055,0005925951,38.865
2018,540065,0016725801,12.97
2018,540065,0001125801,11.513333333333332
2018,540065,0001425130,95.33999999999999
2018,540065,0003425136,62.855000000000004
2018,540065,0003625901,26.88
2018,540065,0004125801,14.72
2018,540065,0005925951,32.54666666666667
2018,540075,0016725801,19.035
2018,540075,0001125801,17.578333333333333
2018,540075,0001425130,101.405
2018,540075,0003425136,68.92
2018,540075,0003625901,32.945
2018,540075,0004125801,20.785
2018,540075,0005925951,28.061666666666667
2018,540086,0016725801,7.805000000000001
2018,540086,0001125801,13.931666666666667
2018,540086,0001425130,77.68833333333333
2018,540086,0003425136,55.638333333333335
2018,540086,0003625901,22.634999999999998
2018,540086,0004125801,11.563333333333333
2018,540086,0005925951,51.611666666666665
2018,540094,0016725801,19.766666666666666
2018,540094,0001125801,18.31
2018,540094,0001425130,101.45
2018,540094,0003425136,68.96499999999999
2018,540094,0003625901,35.961666666666666
2018,540094,0004125801,21.516666666666666
2018,540094,0005925951,32.031666666666666
2018,540129,0016725801,20.861666666666668
2018,540129,0001125801,19.404999999999998
2018,540129,0001425130,103.23166666666665
2018,540129,0003425136,70.74666666666667
2018,540129,0003625901,34.77166666666667
2018,540129,0004125801,22.611666666666668
2018,540129,0005925951,24.35666666666667
2018,540135,0016725801,13.068333333333333
2018,540135,0001125801,10.413333333333332
2018,540135,0001425130,81.975
2018,540135,0003425136,43.24
2018,540135,0003625901,8.973333333333333
2018,540135,0004125801,11.028333333333334
2018,540135,0005925951,54.72166666666667
2018,540155,0016725801,18.391666666666666
2018,540155,0001125801,16.935
2018,540155,0001425130,100.76166666666667
2018,540155,0003425136,68.27666666666667
2018,540155,0003625901,32.30166666666666
2018,540155,0004125801,20.141666666666666
2018,540155,0005925951,26.851666666666667
2018,540160,0016725801,13.69
2018,540160,0001125801,9.883333333333333
2018,540160,0001425130,82.59666666666666
2018,540160,0003425136,47.13166666666667
2018,540160,0003625901,12.865
2018,540160,0004125801,11.65
2018,540160,0005925951,52.611666666666665
2018,540219,0016725801,12.5
2018,540219,0001125801,13.691666666666666
2018,540219,0001425130,80.24
2018,540219,0003425136,47.09
2018,540219,0003625901,15.97
2018,540219,0004125801,10.46
2018,540219,0005925951,54.15333333333333
2018,540224,0016725801,8.928333333333335
2018,540224,0001125801,10.273333333333333
2018,540224,0001425130,82.88666666666667
2018,540224,0003425136,49.736666666666665
2018,540224,0003625901,16.733333333333334
2018,540224,0004125801,5.661666666666666
2018,540224,0005925951,50.955000000000005
2018,540266,0016725801,11.521666666666667
2018,540266,0001125801,14.535
2018,540266,0001425130,90.295
2018,540266,0003425136,57.809999999999995
2018,540266,0003625901,24.80666666666667
2018,540266,0004125801,13.735000000000001
2018,540266,0005925951,48.21666666666667
2018,540267,0016725801,20.84
2018,540267,0001125801,23.853333333333335
2018,540267,0001425130,99.61333333333333
2018,540267,0003425136,67.12833333333333
2018,540267,0003625901,34.125
2018,540267,0004125801,23.053333333333335
2018,540267,0005925951,42.94833333333334
2018,540270,0016725801,51.78666666666666
2018,540270,0001125801,57.123333333333335
2018,540270,0001425130,67.81833333333333
2018,540270,0003425136,78.81833333333334
2018,540270,0003625901,64.18833333333333
2018,540270,0004125801,52.51166666666666
2018,540270,0005925951,95.59333333333333
2019,540001,0016725801,22.404999999999998
2019,540001,0001125801,25.418333333333333
2019,540001,0001425130,101.17833333333333
2019,540001,0003425136,68.69333333333334
2019,540001,0003625901,35.690000000000005
2019,540001,0004125801,24.618333333333332
2019,540001,0005925951,42.885
2019,540002,0016725801,8.913333333333332
2019,540002,0001125801,2.925
2019,540002,0001425130,87.71333333333334
2019,540002,0003425136,51.501666666666665
2019,540002,0003625901,17.235
2019,540002,0004125801,8.511666666666667
2019,540002,0005925951,45.23833333333334
2019,540048,0016725801,13.183333333333334
2019,540048,0001125801,9.376666666666667
2019,540048,0001425130,82.08999999999999
2019,540048,0003425136,43.845
2019,540048,0003625901,9.578333333333335
2019,540048,0004125801,11.143333333333334
2019,540048,0005925951,52.105000000000004
2019,540051,0016725801,5.033333333333333
2019,540051,0001125801,4.098333333333334
2019,540051,0001425130,86.735
2019,540051,0003425136,53.03666666666666
2019,540051,0003625901,18.529999999999998
2019,540051,0004125801,4.631666666666666
2019,540051,0005925951,46.05333333333333
2019,540060,0016725801,14.986666666666668
2019,540060,0001125801,20.06
2019,540060,0001425130,85.37166666666667
2019,540060,0003425136,62.82
2019,540060,0003625901,29.816666666666666
2019,540060,0004125801,18.745
2019,540060,0005925951,52.20333333333333
2019,540062,0016725801,11.101666666666667
2019,540062,0001125801,9.645000000000001
2019,540062,0001425130,92.32666666666667
2019,540062,0003425136,61.64
2019,540062,0003625901,25.011666666666667
2019,540062,0004125801,12.851666666666667
2019,540062,0005925951,41.788333333333334
2019,540134,0016725801,9.055
2019,540134,0001125801,15.181666666666667
2019,540134,0001425130,78.93833333333333
2019,540134,0003425136,56.888333333333335
2019,540134,0003625901,23.884999999999998
2019,540134,0004125801,12.813333333333333
2019,540134,0005925951,52.861666666666665
2019,540135,0016725801,9.046666666666665
2019,540135,0001125801,15.173333333333334
2019,540135,0001425130,78.93
2019,540135,0003425136,56.88
2019,540135,0003625901,23.876666666666665
2019,540135,0004125801,12.805
2019,540135,0005925951,52.85333333333333
2019,540138,0016725801,10.643333333333334
2019,540138,0001125801,2.356666666666667
2019,540138,0001425130,88.42166666666667
2019,540138,0003425136,52.765
2019,540138,0003625901,18.498333333333335
2019,540138,0004125801,10.241666666666667
2019,540138,0005925951,46.25666666666667
2019,540163,0016725801,13.05
2019,540163,0001125801,4.763333333333334
2019,540163,0001425130,91.865
2019,540163,0003425136,50.343333333333334
2019,540163,0003625901,16.076666666666668
2019,540163,0004125801,12.648333333333333
2019,540163,0005925951,48.663333333333334
2019,540165,0016725801,21.115000000000002
2019,540165,0001125801,26.451666666666664
2019,540165,0001425130,65.345
2019,540165,0003425136,66.52
2019,540165,0003625901,33.516666666666666
2019,540165,0004125801,21.84
2019,540165,0005925951,64.92166666666667
2019,540177,0016725801,6.013333333333334
2019,540177,0001125801,3.8449999999999998
2019,540177,0001425130,86.50500000000001
2019,540177,0003425136,51.61833333333333
2019,540177,0003625901,17.351666666666667
2019,540177,0004125801,5.611666666666666
2019,540177,0005925951,45.8
2019,540192,0016725801,23.953333333333333
2019,540192,0001125801,25.923333333333336
2019,540192,0001425130,102.72666666666667
2019,540192,0003425136,70.24166666666666
2019,540192,0003625901,37.23833333333334
2019,540192,0004125801,26.166666666666668
2019,540192,0005925951,38.931666666666665
2019,540239,0016725801,11.835
2019,540239,0001125801,9.541666666666666
2019,540239,0001425130,92.92833333333333
2019,540239,0003425136,60.443333333333335
2019,540239,0003625901,27.44
2019,540239,0004125801,13.585
2019,540239,0005925951,37.99666666666667
2020,540001,0016725801,66.49
2020,540001,0001125801,71.82666666666667
2020,540001,0001425130,54
2020,540001,0003425136,65
2020,540001,0003625901,78.89166666666667
2020,540001,0004125801,67.215
2020,540001,0005925951,110.29666666666667
2020,540058,0016725801,17.98166666666667
2020,540058,0001125801,13.368333333333334
2020,540058,0001425130,96.75500000000001
2020,540058,0003425136,64.27
2020,540058,0003625901,31.266666666666666
2020,540058,0004125801,20.195
2020,540058,0005925951,37.475
2020,540132,0016725801,7.941666666666666
2020,540132,0001125801,13.9
2020,540132,0001425130,81.24833333333332
2020,540132,0003425136,55.775
2020,540132,0003625901,22.771666666666665
2020,540132,0004125801,8.843333333333334
2020,540132,0005925951,52.04333333333333
2020,540144,0016725801,11.693333333333333
2020,540144,0001125801,10.236666666666668
2020,540144,0001425130,94.06333333333333
2020,540144,0003425136,61.57833333333333
2020,540144,0003625901,25.603333333333335
2020,540144,0004125801,13.443333333333333
2020,540144,0005925951,35.416666666666664
2020,540188,0016725801,10.688333333333333
2020,540188,0001125801,9.231666666666666
2020,540188,0001425130,92.59166666666667
2020,540188,0003425136,60.10666666666667
2020,540188,0003625901,27.103333333333335
2020,540188,0004125801,12.438333333333333
2020,540188,0005925951,36.85
2015,540003,0016725801,26.668333333333333
2015,540003,0145724134,44.24
2015,540003,0007124134,42.943333333333335
2015,540003,0005824651,50.501666666666665
2015,540003,0004024740,22.035
2015,540003,0005925951,45.53333333333333
2015,540003,0004824801,81.99833333333332
2015,540003,0001324701,32.25666666666667
2015,540063,0016725801,44.318333333333335
2015,540063,0145724134,48.580000000000005
2015,540063,0007124134,47.28333333333333
2015,540063,0005824651,52.77166666666667
2015,540063,0004024740,21.93166666666667
2015,540063,0005925951,21.766666666666666
2015,540063,0004824801,82.44833333333332
2015,540063,0001324701,34.526666666666664
2015,540155,0016725801,65.10333333333332
2015,540155,0145724134,64.96833333333333
2015,540155,0007124134,63.67166666666667
2015,540155,0005824651,41.99333333333333
2015,540155,0004024740,31.205
2015,540155,0005925951,69.38166666666666
2015,540155,0004824801,52.4
2015,540155,0001324701,18.75
2015,540166,0016725801,22.608333333333334
2015,540166,0145724134,44.86833333333333
2015,540166,0007124134,43.57166666666667
2015,540166,0005824651,51.13
2015,540166,0004024740,22.663333333333334
2015,540166,0005925951,43.68666666666666
2015,540166,0004824801,82.62666666666668
2015,540166,0001324701,32.885
2015,540208,0016725801,42.34166666666667
2015,540208,0145724134,23.626666666666665
2015,540208,0007124134,22.33
2015,540208,0005824651,43.806666666666665
2015,540208,0004024740,14.521666666666667
2015,540208,0005925951,46.519999999999996
2015,540208,0004824801,74.485
2015,540208,0001324701,25.561666666666667
2015,540237,0016725801,43.269999999999996
2015,540237,0145724134,36.02833333333333
2015,540237,0007124134,34.73166666666667
2015,540237,0005824651,34.905
2015,540237,0004024740,2.728333333333333
2015,540237,0005925951,42.71333333333334
2015,540237,0004824801,64.58166666666666
2015,540237,0001324701,16.66
2015,540245,0016725801,31.333333333333332
2015,540245,0145724134,35.080000000000005
2015,540245,0007124134,33.78333333333333
2015,540245,0005824651,41.34166666666667
2015,540245,0004024740,12.875
2015,540245,0005925951,35.04
2015,540245,0004824801,72.83833333333334
2015,540245,0001324701,23.096666666666668
2016,540010,0016725801,59.10333333333333
2016,540010,0145724134,51.193333333333335
2016,540010,0007124134,49.89666666666667
2016,540010,0005824651,29.98166666666667
2016,540010,0004024740,17
2016,540010,0005925951,58.89333333333333
2016,540010,0004824801,46.36666666666667
2016,540010,0001324701,6.738333333333333
2016,540088,0016725801,27.88
2016,540088,0145724134,41.65833333333333
2016,540088,0007124134,40.361666666666665
2016,540088,0005824651,47.919999999999995
2016,540088,0004024740,19.453333333333333
2016,540088,0005925951,40.505
2016,540088,0004824801,79.41666666666667
2016,540088,0001324701,29.675
2016,540120,0016725801,32.751666666666665
2016,540120,0145724134,36.39
2016,540120,0007124134,35.093333333333334
2016,540120,0005824651,42.651666666666664
2016,540120,0004024740,14.346666666666666
2016,540120,0005925951,33.51
2016,540120,0004824801,74.14833333333333
2016,540120,0001324701,24.40666666666667
2016,540126,0016725801,52.34166666666667
2016,540126,0145724134,45.1
2016,540126,0007124134,43.80333333333333
2016,540126,0005824651,29.525
2016,540126,0004024740,14.568333333333333
2016,540126,0005925951,52.8
