totalvehicles,CaseYear,ST_CASE,VEH_NO,NUMOCCS,DEATHS,DR_DRINK,DR_ZIP,SPEEDREL,HIT_RUN,BODY_TYP,BODY_TYPNAME,MAK_MOD,MOD_YEAR,Body,DISTRACT,IMPAIR
1,2015,540001,1,1,1,FALSE,24986,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Subaru Forester,2014,Utility/Minivan,Not Distracted,Unknown
2,2015,540002,1,2,1,FALSE,25901,FALSE,FALSE,4,"4-door sedan, hardtop",Subaru Legacy/Outback(prior to 2003 only; see 045 for 2003 on),2014,Sedan,Not Distracted,Asleep or Fatigued
2,2015,540002,2,4,0,FALSE,25825,FALSE,FALSE,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",Chevrolet Fullsize Blazer/Tahoe,2015,Utility/Minivan,Not Distracted,None/Apparently Normal
1,2015,540003,1,1,1,FALSE,32725,FALSE,FALSE,66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",Kenworth Medium/Heavy - CBE,2004,Truck-tractor,Not Distracted,Unknown
2,2015,540004,1,1,0,FALSE,30260,FALSE,FALSE,66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",Kenworth Medium/Heavy - CBE,1991,Truck-tractor,Not Distracted,None/Apparently Normal
2,2015,540004,2,1,1,FALSE,24701,FALSE,FALSE,4,"4-door sedan, hardtop",Datsun/Nissan Sentra,2012,Sedan,Not Distracted,Unknown
2,2015,540005,1,3,1,FALSE,25168,TRUE,FALSE,4,"4-door sedan, hardtop",Subaru Legacy/Outback(prior to 2003 only; see 045 for 2003 on),1991,Sedan,Not Distracted,Emotional
2,2015,540005,2,3,0,FALSE,25070,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Toyota RAV4 *,2003,Utility/Minivan,Not Distracted,None/Apparently Normal
2,2015,540006,1,1,1,FALSE,25951,FALSE,FALSE,4,"4-door sedan, hardtop",Honda Accord,2002,Sedan,Not Distracted,None/Apparently Normal
2,2015,540006,2,3,0,FALSE,25951,FALSE,FALSE,31,"Standard pickup (GVWR 4,500 to 10,00 lbs.)(Jeep Pickup, Comanche, Ram Pickup, D100-D350,....)","GMC C, K, R, V-series pickup/     Sierra",2012,Pickup,Not Distracted,None/Apparently Normal
2,2015,540007,1,5,1,FALSE,24888,FALSE,FALSE,4,"4-door sedan, hardtop",Dodge Neon,2005,Sedan,Not Distracted,None/Apparently Normal
2,2015,540007,2,1,0,FALSE,24873,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Ford Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport,2005,Utility/Minivan,Not Distracted,Unknown
1,2015,540008,1,1,0,FALSE,25306,NA,TRUE,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",GMC Fullsize Jimmy/Yukon,2004,Utility/Minivan,Not Reported,Unknown
1,2015,540009,1,2,1,FALSE,26354,FALSE,FALSE,4,"4-door sedan, hardtop",Mercury Sable,1996,Sedan,Not Distracted,None/Apparently Normal
1,2015,540010,1,4,1,FALSE,26452,FALSE,FALSE,4,"4-door sedan, hardtop",Ford Focus,2013,Sedan,Not Distracted,Unknown
2,2015,540011,1,1,0,FALSE,26041,FALSE,FALSE,31,"Standard pickup (GVWR 4,500 to 10,00 lbs.)(Jeep Pickup, Comanche, Ram Pickup, D100-D350,....)","Chevrolet C, K, R, V-series pickup/Silverado",2004,Pickup,Not Distracted,None/Apparently Normal
2,2015,540011,2,1,1,FALSE,43912,TRUE,FALSE,4,"4-door sedan, hardtop",KIA Optima,2013,Sedan,Not Distracted,None/Apparently Normal
1,2015,540012,1,1,1,FALSE,24931,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Subaru Forester,2002,Utility/Minivan,Not Distracted,Unknown
2,2015,540013,1,1,1,FALSE,20166,FALSE,FALSE,4,"4-door sedan, hardtop",Toyota Camry,2012,Sedan,Not Distracted,Unknown
2,2015,540013,2,1,0,FALSE,25425,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Jeep / Kaiser-Jeep / Willys- Jeep YJ series/Wrangler,2003,Utility/Minivan,Not Distracted,None/Apparently Normal
1,2015,540014,1,2,1,FALSE,25671,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Jeep / Kaiser-Jeep / Willys- Jeep Cherokee (1984-on) (For Grand Cherokee for 2014 on use 02-422.),1999,Utility/Minivan,Not Distracted,Asleep or Fatigued
